"";"date";"price";"volume"
"817";"2010-03-31";10,534286;5714800
"818";"2010-04-01";10,714286;13577200
"819";"2010-04-05";11,427143;16663500
"820";"2010-04-06";11,91;27422500
"821";"2010-04-07";11,39;25214700
"822";"2010-04-08";11,69;13912500
"823";"2010-04-09";11,774286;11563300
"824";"2010-04-12";11,882857;9430400
"825";"2010-04-13";12,34;17424400
"826";"2010-04-14";12,51;18056500
"827";"2010-04-15";12,404286;11999400
"828";"2010-04-16";12,187143;10971800
"829";"2010-04-19";12,114286;13470800
"830";"2010-04-20";12,438571;12414500
"831";"2010-04-21";12,425714;24311700
"832";"2010-04-22";14,321429;90442100
"833";"2010-04-23";14,247143;29817900
"834";"2010-04-26";15,452857;47215000
"835";"2010-04-27";14,581429;34263600
"836";"2010-04-28";14,198571;22770300
"837";"2010-04-29";14,738571;18078200
"838";"2010-04-30";14,128571;13059200
"839";"2010-05-03";14,57;13974100
"840";"2010-05-04";14,194286;15383900
"841";"2010-05-05";14,032857;14749700
"842";"2010-05-06";13,852857;24448900
"843";"2010-05-07";13,012857;25908400
"844";"2010-05-10";13,928571;18567500
"845";"2010-05-11";14,26;23100700
"846";"2010-05-12";15,404286;27244700
"847";"2010-05-13";15,715714;71549800
"848";"2010-05-14";14,365714;34964300
"849";"2010-05-17";15,192857;31577700
"850";"2010-05-18";14,572857;27498100
"851";"2010-05-19";14,372857;22927100
"852";"2010-05-20";13,57;28922600
"853";"2010-05-21";14,21;30009000
"854";"2010-05-24";14,517143;18433100
"855";"2010-05-25";15;23362500
"856";"2010-05-26";14,971429;33401900
"857";"2010-05-27";15,551429;19626600
"858";"2010-05-28";15,878571;28188300
"859";"2010-06-01";15,327143;15894900
"860";"2010-06-02";15,825714;18494000
"861";"2010-06-03";15,978571;18261600
"862";"2010-06-04";15,682857;21744100
"863";"2010-06-07";15,594286;26215700
"864";"2010-06-08";15,761429;24122700
"865";"2010-06-09";16,49;39731300
"866";"2010-06-10";16,951429;24768100
"867";"2010-06-11";17,241428;28693700
"868";"2010-06-14";18,115713;34783000
"869";"2010-06-15";17,642857;31710700
"870";"2010-06-16";17,809999;30639700
"871";"2010-06-17";17,98;18610900
"872";"2010-06-18";18,059999;17446100
"873";"2010-06-21";16,998571;26078500
"874";"2010-06-22";16,632856;27733300
"875";"2010-06-23";16,824286;14732900
"876";"2010-06-24";16,464287;13636700
"877";"2010-06-25";16,854286;18129300
"878";"2010-06-28";16,80143;11553500
"879";"2010-06-29";16,082857;20429500
"880";"2010-06-30";15,521429;26104400
"881";"2010-07-01";15,665714;22759800
"882";"2010-07-02";15,297143;11218200
"883";"2010-07-06";15,324286;15773800
"884";"2010-07-07";16,927143;28483700
"885";"2010-07-08";16,71143;26282900
"886";"2010-07-09";16,790001;12726000
"887";"2010-07-12";17,054285;13410600
"888";"2010-07-13";17,274286;17581200
"889";"2010-07-14";17,571428;13643700
"890";"2010-07-15";17,30143;15295700
"891";"2010-07-16";16,912857;14473200
"892";"2010-07-19";16,985714;13239100
"893";"2010-07-20";17,19857;17623900
"894";"2010-07-21";17,092857;33055400
"895";"2010-07-22";14,794286;95617900
"896";"2010-07-23";15,385714;33507600
"897";"2010-07-26";14,684286;32959500
"898";"2010-07-27";14,87;22699600
"899";"2010-07-28";14,33;34626900
"900";"2010-07-29";14,002857;35392700
"901";"2010-07-30";14,65;30704800
"902";"2010-08-02";14,554286;24295600
"903";"2010-08-03";14,915714;30139200
"904";"2010-08-04";15,447143;24243100
"905";"2010-08-05";15,79;24296300
"906";"2010-08-06";16,902857;48693400
"907";"2010-08-09";16,700001;21420000
"908";"2010-08-10";17,85857;90987400
"909";"2010-08-11";18,067142;71350300
"910";"2010-08-12";19,007143;71959300
"911";"2010-08-13";18,894285;47224800
"912";"2010-08-16";19,602858;42668500
"913";"2010-08-17";18,995714;59518900
"914";"2010-08-18";17,957144;59725400
"915";"2010-08-19";18,32;46575900
"916";"2010-08-20";18,565714;24221400
"917";"2010-08-23";18,128571;26871600
"918";"2010-08-24";17,325714;36478400
"919";"2010-08-25";17,75;20053600
"920";"2010-08-26";17,977142;28499100
"921";"2010-08-27";18,014286;21134400
"922";"2010-08-30";17,585714;18643100
"923";"2010-08-31";17,931429;24219300
"924";"2010-09-01";19,272858;58268000
"925";"2010-09-02";19,714287;36800400
"926";"2010-09-03";19,782858;34800500
"927";"2010-09-07";20,255714;32400200
"928";"2010-09-08";20,857143;38980200
"929";"2010-09-09";20,811428;27959400
"930";"2010-09-10";20,879999;18475100
"931";"2010-09-13";21,134287;23407300
"932";"2010-09-14";20,950001;20414100
"933";"2010-09-15";20,445715;24116400
"934";"2010-09-16";20,071428;28531300
"935";"2010-09-17";20,065714;23191000
"936";"2010-09-20";20,412857;37009000
"937";"2010-09-21";21,02857;32460400
"938";"2010-09-22";22,418571;62444900
"939";"2010-09-23";22,924286;81991000
"940";"2010-09-24";23,172857;65331000
"941";"2010-09-27";23,57;41696900
"942";"2010-09-28";23,122856;38302600
"943";"2010-09-29";24,375713;54484500
"944";"2010-09-30";23,165714;72002700
"945";"2010-10-01";22,094286;58912700
"946";"2010-10-04";22,341429;47406800
"947";"2010-10-05";22,308571;41052900
"948";"2010-10-06";21,467142;47487300
"949";"2010-10-07";21,632856;28767900
"950";"2010-10-08";21,377144;24377500
"951";"2010-10-11";21,955713;28622300
"952";"2010-10-12";22,19857;25449200
"953";"2010-10-13";22,087143;22960700
"954";"2010-10-14";21,825714;21929600
"955";"2010-10-15";22,245714;24075100
"956";"2010-10-18";21,857143;19976600
"957";"2010-10-19";21,332857;25627700
"958";"2010-10-20";21,878571;63282100
"959";"2010-10-21";24,67;111769000
"960";"2010-10-22";24,014286;49298900
"961";"2010-10-25";23,834286;25864300
"962";"2010-10-26";25,374287;73645600
"963";"2010-10-27";25,5;64831200
"964";"2010-10-28";25,1;26392100
"965";"2010-10-29";24,795713;41610800
"966";"2010-11-01";23,91;34553400
"967";"2010-11-02";24,515715;38203200
"968";"2010-11-03";24,494286;27377000
"969";"2010-11-04";23,974285;41218800
