"";"title";"Awards"
"641";"Who Are the DeBolts? And Where Did They Get Nineteen Kids?";"1"
"642";"You Light Up My Life";"1"
"643";"Rocky";"3"
"644";"Network";"4"
"645";"All the President's Men";"4"
"646";"Bound for Glory";"2"
"647";"A Star Is Born";"1"
"648";"Fellini's Casanova (Il Casanova di Federico Fellini)";"1"
"649";"The Omen";"1"
"650";"Black and White in Color (Noirs et blancs en couleur)";"1"
"651";"Harlan County, USA";"1"
"652";"In the Region of Ice";"1"
"653";"Leisure";"1"
"654";"Number Our Days";"1"
"655";"King Kong";"0 (1)"
"656";"Logan's Run";"0 (1)"
"657";"One Flew Over the Cuckoo's Nest";"5"
"658";"Barry Lyndon";"4"
"659";"Jaws";"3"
"660";"Dog Day Afternoon";"1"
"661";"Nashville";"1"
"662";"Shampoo";"1"
"663";"The Sunshine Boys";"1"
"664";"Angel and Big Joe";"1"
"665";"Dersu Uzala";"1"
"666";"The End of the Game";"1"
"667";"Great (Great (Isambard Kingdom Brunel))";"1"
"668";"The Man Who Skied Down Everest";"1"
"669";"The Hindenburg";"0 (2)"
"670";"The Godfather: Part II";"6"
"671";"The Towering Inferno";"3"
"672";"The Great Gatsby";"2"
"673";"Chinatown";"1"
"674";"Murder on the Orient Express";"1"
"675";"Earthquake";"1 (1)"
"676";"Alice Doesn't Live Here Anymore";"1"
"677";"Amarcord";"1"
"678";"Harry and Tonto";"1"
"679";"Closed Mondays";"1"
"680";"Don't";"1"
"681";"Hearts and Minds";"1"
"682";"One-Eyed Men Are Kings (...borgnes sont rois, Les)";"1"
"683";"The Sting";"7"
"684";"The Exorcist";"2"
"685";"The Way We Were";"2"
"686";"Cries and Whispers (Viskningar och rop)";"1"
"687";"A Touch of Class";"1"
"688";"Day for Night (La Nuit américaine)";"1"
"689";"Paper Moon";"1"
"690";"The Paper Chase";"1"
"691";"Save the Tiger";"1"
"692";"The Bolero";"1"
"693";"Frank Film";"1"
"694";"The Great American Cowboy";"1"
"695";"Princeton: A Search for Answers";"1"
"696";"The Godfather";"3"
"697";"Cabaret";"8"
"698";"The Poseidon Adventure";"1 (1)"
"699";"Travels with My Aunt";"1"
"700";"Butterflies Are Free";"1"
"701";"The Candidate";"1"
"702";"The Discreet Charm of the Bourgeoisie (Le charme discret de la bourgeoisie)";"1"
"703";"A Christmas Carol";"1"
"704";"Limelight";"1"
"705";"Marjoe";"1"
"706";"Norman Rockwell's World... An American Dream";"1"
"707";"This Tiny World";"1"
"708";"The French Connection";"5"
"709";"Fiddler on the Roof";"3"
"710";"The Last Picture Show";"2"
"711";"Nicholas and Alexandra";"2"
"712";"Sentinels of Silence";"2"
"713";"Bedknobs and Broomsticks";"1"
"714";"Summer of '42";"1"
"715";"The Garden of the Finzi-Continis (Il Giardino dei Finzi-Contini)";"1"
"716";"The Hospital";"1"
"717";"Klute";"1"
"718";"Shaft";"1"
"719";"The Crunch Bird";"1"
"720";"The Hellstrom Chronicle";"1"
"721";"Patton";"7"
"722";"Ryan's Daughter";"2"
"723";"Airport";"1"
"724";"Love Story";"1"
"725";"M*A*S*H";"1"
"726";"Tora! Tora! Tora!";"1"
"727";"Women in Love";"1"
"728";"Lovers and Other Strangers";"1"
"729";"Woodstock";"1"
"730";"Cromwell";"1"
"731";"Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto)";"1"
"732";"Interviews with My Lai Veterans";"1"
"733";"Is It Always Right to Be Right?";"1"
"734";"Let It Be";"1"
"735";"The Resurrection of Broncho Billy";"1"
"736";"Midnight Cowboy";"3"
"737";"Butch Cassidy and the Sundance Kid";"4"
"738";"Hello, Dolly!";"3"
"739";"Z";"2"
"740";"Anne of the Thousand Days";"1"
"741";"They Shoot Horses, Don't They?";"1"
"742";"Marooned";"1"
"743";"The Magic Machines";"1"
